Appointment_Srce,Appointment_Strd
代理,Acting
任命,Appointed
充,Fill
充任,Appointed
兼,Concurrent
兼代,Acting
兼任,Concurrently appointed
兼充,Concurrent Fill
升充,Elevated
呈請調任,Transferred
委任,Nominated
接充,Replace
暫代,Acting
暫充,Temporary assignment
暫兼代理,Concurrent management
暫時兼充,Temporary concurrent assignment
暫行代理,Temporary acting
暫行兼代,Concurrent acting
暫行兼任,Temporary assignment
暫行兼理,Temporary concurrent management
暫行管理,Temporary management
暫行署理,Deputized
權理,Acting for the Higher Position
派,Assigned
派充,Assignment
派兼,Assigned
特任,Special appointment
現充,Current Fill
簡任,Senior Executive Officer
續聘,Extended
署理,Deputized
聘,Hired
薦任,Recommended Officer
試用,Probation
調,Transferred
調任,Transferred
調充,Transferred
調派,Transferred
