man_made features ;level 1;level 2;level 3;level 4;level 5;level 6;level 7;level 8
manmade features ;institutional site ;educational facility ;school;private school;religious school;kindergarden;;buddhist
manmade features ;institutional site ;educational facility ;school;private school;religious school;primary school;;buddhist
manmade features ;institutional site ;educational facility ;school;private school;religious school;secondary school;;buddhist
manmade features ;institutional site ;educational facility ;school;private school;religious school;vocational school;;buddhist
manmade features ;institutional site ;educational facility ;school;private school;religious school;kindergarden;;catholic
manmade features ;institutional site ;educational facility ;school;private school;religious school;primary school;;catholic
manmade features ;institutional site ;educational facility ;school;private school;religious school;secondary school;;catholic
manmade features ;institutional site ;educational facility ;school;private school;religious school;vocational school;;catholic
manmade features ;institutional site ;educational facility ;school;private school;religious school;seminary;;catholic
manmade features ;institutional site ;educational facility ;school;private school;religious school;kindergarden;;jewish
manmade features ;institutional site ;educational facility ;school;private school;religious school;primary school;;jewish
manmade features ;institutional site ;educational facility ;school;private school;religious school;secondary school;;jewish
manmade features ;institutional site ;educational facility ;school;private school;religious school;kindergarden;;muslim
manmade features ;institutional site ;educational facility ;school;private school;religious school;primary school;;muslim
manmade features ;institutional site ;educational facility ;school;private school;religious school;secondary school;;muslim
manmade features ;institutional site ;educational facility ;school;private school;religious school;kindergarden;;protestant
manmade features ;institutional site ;educational facility ;school;private school;religious school;primary school;;protestant
manmade features ;institutional site ;educational facility ;school;private school;religious school;secondary school;;protestant
manmade features ;institutional site ;educational facility ;school;private school;religious school;vocational school;;protestant
manmade features ;agricultural site ;dairy;;;;;;
manmade features ;agricultural site ;farm;;;;;;
manmade features ;agricultural site ;orchard;;;;;;
manmade features ;agricultural site ;nursery;;;;;;
manmade features ;agricultural site ;field;;;;;;
manmade features ;administrative facility;court house ;;;;;;
manmade features ;administrative facility;court house ;municipal court;;;;;
manmade features ;administrative facility;court house ;provincial court;;;;;
manmade features ;administrative facility;city hall;town hall;;;;;
manmade features ;administrative facility;city hall;district city hall;;;;;
manmade features ;administrative facility;city hall;;neighborhood office (jiedao banshichu);;;;
manmade features ;administrative facility;city hall;municipal service;;;;;
manmade features ;administrative facility;county seat; magistrate;;;;;
manmade features ;administrative facility;police;police station;;;;;
manmade features ;administrative facility;police;;police sub-station;;;;
manmade features ;administrative facility;police;police dormitory;;;;;
manmade features ;administrative facility;fire brigade;firemen station;;;;;
manmade features ;administrative facility;customs;customes station;;;;;
manmade features ;administrative facility;post office building ;post office;;;;;
manmade features ;administrative facility;post office building ;telegraph;;;;;
manmade features ;administrative facility;;;;;;;
manmade features ;administrative facility;;;;;;;
manmade features ;administrative facility;;;;;;;
manmade features ;administrative facility;ministry;foreign affairs;diplomatic representation;embassy;;;
