Degree_Expanded,Degree,Degree_ZhT,Degree_acronym
Bachelor of Arts,Bachelor,學士,A.B.
Bachelor of Arts,Bachelor,學士,B.A.
Bachelor of Architecture,Bachelor,學士,B.Arch. 
Bachelor of Architecture,Bachelor,學士,B.Arch. 
Bachelor of Business Administration,Bachelor,學士,B.B.A. 
Bachelor of Commercial Sciences,Bachelor,學士,B.C.S.
Bachelor of Theology,Bachelor,學士,B.D.
Bachelor of Financial Services,Bachelor,學士,B.F.S.
Bachelor of Letters,Bachelor,學士,B.L.
Bachelor of Law,Bachelor,學士,B.L.S.
Bachelor of Physical Education,Bachelor,學士,B.P.E. 
Bachelor of Rhetoric,Bachelor,學士,B.Rh. 
Bachelor of Sciences,Bachelor,學士,B.S.
Bachelor of Agricultural Science,Bachelor,學士,B.S.A.
Bachelor of Commercial Sciences,Bachelor,學士,B.S.C.
Bachelor of Civil Engineering,Bachelor,學士,B.S.C.E.
Bachelor of Engineering,Bachelor,學士,B.S.E.
Bachelor of Electrical Engineering,Bachelor,學士,B.S.E.E.
Bachelor of Law,Bachelor,學士,B.S.J.
Bachelor of Sciences,Bachelor,學士,B.Sc.
Bachelor of Theology,Bachelor,學士,L.H.B.
Bachelor of Literature,Bachelor,學士,Litt.B.
Bachelor of Law,Bachelor,學士,LL.B.
Bachelor of Philosophy,Bachelor,學士,Ph.B.
Bachelor of Sciences,Bachelor,學士,S.B.
Bachelor of Theology,Bachelor,學士,S.T.B.
Certificate of Engineering,Certificate,證書,C.E.
Certificate of Health Physicist,Certificate,證書,C.H.P.
Doctor of Engineering,Doctorate,博士,D. Eng.
Doctorate of Law,Doctorate,博士,D.C.L.
Doctorate of Civil Law,Doctorate,博士,D.C.L.
Doctorate of Commercial Sciences,Doctorate,博士,D.C.S.
Doctorate of Commercial Sciences,Doctorate,博士,D.C.S.
Doctorate of Chemical Engineering,Doctorate,博士,D.Ch.E.
Doctorate of Theology,Doctorate,博士,D.D.
Doctorate of Dental Surgery,Doctorate,博士,D.D.S.
Doctorate of Electrical Engineering,Doctorate,博士,D.E.E.
Doctorate of Engineering,Doctorate,博士,D.Eng.
Doctorate of Mechanical Engineering,Doctorate,博士,D.M.E.
Doctorate of Health Physicist,Doctorate,博士,D.P.H.
Doctorate of Public Health,Doctorate,博士,D.P.H.
Doctorate of Religious Education,Doctorate,博士,D.R.E.
Doctorate of Sciences,Doctorate,博士,D.Sc.
Doctorate of Sciences,Doctorate,博士,D.Sc.
Doctorate of Tropical Medicine,Doctorate,博士,D.T.M.
Doctorate of Veterinary Medicine,Doctorate,博士,D.V.M.
Doctorate of Engineering,Doctorate,博士,Dr.Eng. 
Doctorate of Education,Doctorate,博士,EdD
Doctorate of Law,Doctorate,博士,J.D.
Doctorate of Law,Doctorate,博士,JSD
Doctorate of Law,Doctorate,博士,JSD
Doctorate of Law,Doctorate,博士,LL.D.
Doctorate of Medicine,Doctorate,博士,M.D.
Doctorate of Dental Surgery,Doctorate,博士,M.D.D.S.
Doctorate of Medicine,Doctorate,博士,MD
Doctorate of Pedagogy,Doctorate,博士,PedD
Doctorate of Philosophy,Doctorate,博士,Ph.D
Doctorate of Philosophy,Doctorate,博士,Ph.D.
Doctorate of Theology,Doctorate,博士,S.T.D.
Doctorate of Sciences,Doctorate,博士,Sc.D.
Doctorate of Sciences,Doctorate,博士,ScD
Doctorate of Law,Doctorate,博士,SJD
Doctorate of Theology,Doctorate,博士,Th.D. 
Doctorate of Theology,Doctorate,博士,ThD
Honorary degree,Honorary degree,榮譽學位,Hon.D.D.
Master of Arts,Master,碩士,A.M.
Master of Law,Master,碩士,LL.M.
Master of Arts,Master,碩士,M.A
Master of Architecture,Master,碩士,M.Arch.
Master of Business Administration,Master,碩士,M.B.A.
Master of Civil Engineering,Master,碩士,M.C.E.
Master of Commercial Sciences,Master,碩士,M.C.S.
Master of Engineering,Master,碩士,M.E.
Master of Electrical Engineering,Master,碩士,M.E.E.
Master of Forestry,Master,碩士,M.F.
Master of Mechanical Engineering,Master,碩士,M.M.E.
Master of Medical Sciences,Master,碩士,M.M.Sc. 
Master of Medical Sciences,Master,碩士,M.Med.Sc.
Master of Sciences,Master,碩士,M.S.
Master of Engineering,Master,碩士,M.S.E.
Master of Electrical Engineering,Master,碩士,M.S.E.E.
Master of Sciences,Master,碩士,M.Sc.
Master of Sciences,Master,碩士,S.M.
Master of Theology,Master,碩士,Th.M.
Jinshi,Jinshi,進士,
Juren,Juren,舉人,
Gongsheng,Gongsheng,貢生,
Jiansheng,Jiansheng,監生,
Xiucai,Xiucai,秀才,
