Discipline_ZhS_Srce,Discipline_ZhT_Srce,Discipline_Level2,Discipline_Level2_Strd,Discipline_Level1,Discipline_Level1_Strd,Discipline_Level0,Discipline_Level0_ZhT,Level1_code,,,,
工学系航空,工學系航空,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学系航空工程,工學系航空工程,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院化学.航空工程系,工學院化學.航空工程系,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院航空学系,工學院航空學系,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院航空工程系,工學院航空工程系,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院航空系,工學院航空系,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
航天工程,航天工程,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
航空学,航空,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
航空学,航空學,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
航空学系,航空學系,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
航空学院,航空學院,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
航空专业,航空專業,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
航空工程,航空工程,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
航空工程动力组,航空工程動力組,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
航空工程学,航空工程學,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
航空工程学系,航空工程學系,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
航空工程系,航空工程系,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
航空建筑,航空建築,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
航空系,航空系,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
飞机动力,飛機動力,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
飞机工程,飛機工程,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
飞机机械,飛機機械,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
飞机结构,飛機結構,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
飞机设计,飛機設計,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
飞机设计专业,飛機設計專業,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
飞机设计组,飛機設計組,Aeronautical Engineering,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
文理_航空工程,文理_航空工程,Aeronautical Engineering ,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
航空工程科,航空工程科,Aeronautical Engineering ,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
先修班农组,先修班農組,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
先修班农医系,先修班農醫系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
先修班农医组,先修班農醫組,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院经济昆虫系,園工,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
园艺,園藝,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
园艺学,園藝學,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
园艺学系,園藝學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
园艺专业,園藝專業,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
园艺系,園藝系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
园艺组,園藝組,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
垦殖科,墾殖科,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
垦殖科一年级,墾殖科一年級,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
垦殖科三年级,墾殖科三年級,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
大学部林学系,大學部林學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
大学部农化系,大學部農化系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
大学部农学系,大學部農學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
学院园艺科,學院園藝科,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
专门农学科,專門農學科,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
專門部林學科,專門部林學科,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
文学院转农学院农业工程系,文學院轉農學院農業工程系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
文法学院农业教育学系,文法學院農業教育學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
林学,林學,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
林学科,林學科,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
林森学系,林森學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
林科,林科,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
林雪,林雪,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
森林,森林,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
,森林學,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
森林学系,森林學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
森林学院森林系,森林學院森林系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
森林科,森林科,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
森林系,森林系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
,漁撈,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
理学院化工系转农学院农经系,理學院化工系轉農學院農經系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
理学院数学系转农学院农业工程系,理學院數學系轉農學院農業工程系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
理学院物理系？农学院农艺系？,理學院物理系？農學院農藝系？,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
畜牧,畜牧,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
畜牧学系,畜牧學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
畜牧学系一年级,畜牧學系一年級,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
