Level2_MCBD,Level2__ZhT_MCBD,Level1_MCBD,Level1__ZhT_MCBD,Level0_MCBD,Level0_ZhT_MCBD,Level1_code
Chinese Classics,中國經典,Chinese Classics,科舉,Chinese Classics,科舉,EXM
Aeronautical Engineering ,航空工程,Engineering Sciences,工程科學,Engineering,工程,ENG
Agricultural Engineering,農業工程,Engineering Sciences,工程科學,Engineering,工程,ENG
Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG
Civil Engineering ,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG
Electrical Engineering,電氣工程,Engineering Sciences,工程科學,Engineering,工程,ENG
Engineering,工程學,Engineering Sciences,工程科學,Engineering,工程,ENG
Hydraulic Engineering,水利工程,Engineering Sciences,工程科學,Engineering,工程,ENG
Marine Engineering,海洋工程,Engineering Sciences,工程科學,Engineering,工程,ENG
Mechanical Engineering,機械工程,Engineering Sciences,工程科學,Engineering,工程,ENG
Military Engineering,工兵學,Engineering Sciences,工程科學,Engineering,工程,ENG
Mining and Metallurgy,採礦冶金學,Engineering Sciences,工程科學,Engineering,工程,ENG
Textile Engineering,紡織工程,Engineering Sciences,工程科學,Engineering,工程,ENG
Archaeology,考古,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM
Architecture,建築學,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM
Economics,經濟學,Social Sciences,社會科學,Humanities and Social Sciences,人文社會科學,SSC
Arts,藝術,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM
Fine Arts,美術,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM
History,歷史,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM
Journalism,新聞學,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM
Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM
Library Science,圖書館學,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM
Linguistics,語言學,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM
Philosophy,哲學,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM
Religion,宗教,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM
Accounting,會計學,Social Sciences,社會科學,Humanities and Social Sciences,人文社會科學,SSC
Anthropology,人類學,Social Sciences,社會科學,Humanities and Social Sciences,人文社會科學,SSC
Business Administration,工商管理學,Social Sciences,社會科學,Humanities and Social Sciences,人文社會科學,SSC
Education,教育,Social Sciences,社會科學,Humanities and Social Sciences,人文社會科學,SSC
International Law and Relations,國際法與國際關係,Social Sciences,社會科學,Humanities and Social Sciences,人文社會科學,SSC
Law,法律,Social Sciences,社會科學,Humanities and Social Sciences,人文社會科學,SSC
Political Economy,政治經濟學,Social Sciences,社會科學,Humanities and Social Sciences,人文社會科學,SSC
Political Science,政治學,Social Sciences,社會科學,Humanities and Social Sciences,人文社會科學,SSC
Psychology,心理學,Social Sciences,社會科學,Humanities and Social Sciences,人文社會科學,SSC
Sociology,社會學,Social Sciences,社會科學,Humanities and Social Sciences,人文社會科學,SSC
Military Training,軍事教育,Military Education,軍事教育,Military,軍事,MIL
Preparatory,預備科,Other,其他,Other,其他,OTH
Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,BSC
Anatomy and Physiology ,解剖學與生理學,Health Sciences,健康科學,Science,科學,HSC
Bacteriology and Microbiology,細菌學與微生物學,Biological Sciences,生物科學,Science,科學,BSC
Biological Chemistry,生物化學,Biological Sciences,生物科學,Science,科學,BSC
Biology and Genetics,生物學,Biological Sciences,生物科學,Science,科學,BSC
Botany and Plant Culture,植物學,Biological Sciences,生物科學,Science,科學,BSC
Food Technology,食品科技,Biological Sciences,生物科學,Science,科學,BSC
Medicine and Surgery,醫學,Health Sciences,健康科學,Science,科學,HSC
Pharmacology ,藥物學,Health Sciences,健康科學,Science,科學,HSC
Public Health and Hygiene,公衆衞生學,Health Sciences,健康科學,Science,科學,HSC
Veterinary Science,獸醫學,Biological Sciences,生物科學,Science,科學,BSC
Zoology,動物學,Biological Sciences,生物科學,Science,科學,BSC
Geography,地理學,Earth Sciences,地球科學,Science,科學,ESS
Geology and Mineralogy,地質礦物學,Earth Sciences,地球科學,Science,科學,ESS
Astronomy and Astrophysics,天文學與天體物理學,Physical Sciences,物理科學,Science,科學,PSC
Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC
Mathematics,數學,Physical Sciences,物理科學,Science,科學,PSC
Meteorology,氣象學,Physical Sciences,物理科學,Science,科學,PSC
Physics,物理學,Physical Sciences,物理科學,Science,科學,PSC
Science,科學,Science,科學,Science,科學,PSC
