Institution_Srce,Institution_Strd
㈠工部局,工部局
㈠祥泰木行,祥泰木行
㈠腿業工會第一分會,腿業工會第一分會
㈥工部局,工部局
□□□,Remove
○　昌洋行,昌洋行
○　源新聞紙館,源新聞紙館
77師,77師
Ambassador to Soviet Russia,Ministry of Foreign Affairs
"Board of Directors of Hwa Foong Paper Manufac-
turing Co.",Hwa Foong Paper Manufacturing Company 
Chartered Stock and Produce Exchange,Shanghai Chartered Stock and Produce Exchange
Cheng Shih Middle School,Shanghai Cheng Shih Middle School
China Merchants' Steam Navigation Company,Shanghai China Merchants' Steam Navigation Company
Chinese Cotton Goods Exchange,Shanghai China Cotton Goods Exchange
Chinese Electric Power Company,Shanghai Chinese Electric Power Company
Chinese Legation at Washington,Denmark  Germany
Coffe,Remove
Commission for Efficient Administration of the Post Office.,Commission for Efficient Administration of the Post Office 
"Executive Committee of Famine Relief Association for Honan,  Anhwei and Hupeh Provinces",Executive Committee of Famine Relief Association for Honan Anhwei and Hupeh Provinces
Executive Committee of the China Merchants Steam Navigation Co,China Merchants' Steam Navigation Company 
Executive Committees of the China Cotton Goods Exchange,China Cotton Goods Exchange 
Foreign Affairs Department in the office of the Customs Superintendent in Chefoo,Foreign Affairs Department in the office of the Customs Superintendent 
"Great China
University",Great China University 
Great China University Board of Trustees,Great China University 
Hua Fon & Paper Manufactory,Hangchow Hwa Foong Paper Manufacturing Company
Industrial Bank of China,Shanghai Industrial Bank of China
International Famine Relief Commission in Peiping,International Famine Relief Commission 
Jardine Matheson & Co. Ltd.,Shanghai Jardine Matheson & Company
Jen Chi Hospital,Ningpo Jen Chi Hospital
Kiangsu and Chekiang Bank,Shanghai Kiangsu and Chekiang Bank
Kiangsu Province,Jiangsu Provincial Administration 
Kiangsu Provincial Bank,Shanghai Jiangsu Provincial Bank
Legal pracitioner,Legal practitioner
Lester Chinese Hospital of Ningpo,Lester Chinese Hospital Ningpo
NEW-HUDSON名,New Hudson
Sine Laboratory Co., Ltd.
ＳteelDrumsCo,Steel Drums Co.
"T.
China Press Packing Co.",China Press Packing Company 
Tung Wai Bank, Shanghai
一中,Remove
一五二七編緝部,Remove
一元,Remove
一元織造廠,一元織造廠
一分,Remove
一區一,一區一分所
一區一分　所,一區一分所
一區二,一區二分所
一區保衛團第三支團,一區保衛團
一善會,一善會
一國第,Remove
一團三,Remove
一大魚行,一大魚行
一師第,Remove
一枝春,Remove
一枝春茶,一枝春茶樓
一樂春,一樂春茶館
一樂春茶館,一樂春茶館
一法,第一特區地方法院
一特區地方法院,江蘇上海第一特區地方法院
一特區法院,一特區地方法院
一特法院,一特區地方法院
一特院,一特區地方法院
一興肉,一興肉莊
一路,一路分局
一路分,一路分局
一邑尊升堂,Remove
一院,Remove
一黨寺,一黨寺
丁丑科翰林院,翰林院
丁泰記園,丁泰記園
丁聚盛,Remove
丁聚盛紙店,丁聚盛紙店
七一,Remove
七十二師,七十二師
七鋪,Remove
三　昌糖食店,昌糖食店
三　齋肉店,齋肉店
三一印刷股份有限公司,三一印刷公司
三七鋪,Remove
三七鋪巡防,三七鋪巡防局
三井,三井洋行
三井·三菱,三井洋行
三井三蒙,三井洋行
三井公司,三井洋行
三井會社,三井洋行
三井東洋行,三井洋行
三井洋行,三井洋行
三井湯淺三洋行,三井洋行
三井煤棧,三井洋行
三井物產會社,三井洋行
三井行,三井洋行
三亦堂,三亦堂
三元,Remove
三元坊,Remove
三元堂丸藥,Remove
三元昇烟紙,Remove
三元福,Remove
三光,Remove
三分,Remove
三北機器廠,三北機器廠
三北輪埠公司,三北輪船公司
三北輪船公司,三北輪船公司
三北造船廠,三北造船廠
三區一,三區一分所
三區警,三區警署
三十區,Remove
三友梭子廠,三友梭子廠
三合會,三合會
三和,Remove
三和槽,Remove
三和西式皮革製品廠,三和西式皮革製品廠
三圖,Remove
三圖地保,Remove
三增,Remove
三慰公司（地產建築）,三慰公司（地產建築）
三慶,Remove
三慶班,三慶戲班
三慶部,Remove
三新銀行,三新銀行
三方面軍,三方面軍
三明府,Remove
三林司,三林司署
三林司署,三林司署
三林塘司,Remove
三民,Remove
三民化妝品廠,三民化妝品廠
三江,Remove
三江帮,Remove
三江幫,三江幫
三河鎭經募,Remove
三法鄉,Remove
三泰,Remove
三泰南貨,三泰南雜貨店
三泰米行,三泰米行
三泰馬頭,Remove
三洋涇橋義記土行,義記土行
三湖,Remove
三珍齋,三珍齋肉舖
三珍齋肉,三珍齋肉店
三珍齋肉店,三珍齋肉店
三發公司,三發公司
三發洋行,三發洋行
三益,Remove
三益興,Remove
三盛外國蓬,Remove
三等三,Remove
三素肉,三美鮮肉莊
三義,Remove
三興,Remove
三興煙草公司,三興煙草公司
三茂,Remove
三茂南,三茂南貨店
三茂鹹貨店,三茂鹹貨店
三茅閣橋洋貨店,三茅閣橋洋貨店
三莊,三莊理賬處
三菱,三菱公司
三菱·三井·第一·安田·住友,Remove
三菱公司,三菱公司
三菱公司洋行,三菱公司
三進,Remove
三道,Remove
三鋪,Remove
三鐵,Remove
三陽,Remove
三陽泰卽,三陽泰茶食店
三陽泰茶食,三陽泰茶食店
三青團,三青團
三養公司,三養公司
三馬路愛立司西藥行,愛立司西藥行
三馬路招商局,招商輪船局
三馬路與昌協賑公所,協賑公所
三馬路與昌恊賑公所,昌恊賑公所
三馬銷舆昌賬公所,昌賬公所
上　同仁醫院,同仁醫院
上中,Remove
上中實小,Remove
上京館,上京館飯店
上企,Remove
上元企業公司,上元企業公司
上元縣,上元縣
上元縣監,上元縣
上公堂,Remove
上嗔,Remove
上天殯儀舘,上天殯儀舘
上天𣩵儀館,上天殯儀舘
上峯,Remove
上工,Remove
上工部局,工部局
上憲,Remove
上憲協,Remove
上憲委,Remove
上憲札,Remove
上憲衙門,Remove
上控府,Remove
上書畫,Remove
上江兩學,Remove
上江貢監,Remove
上泗祿星堂,上泗祿星堂
上洋四馬路寳文閣,Remove
上洋大藥房,洋大藥房
上洋輪船局,洋輪船局
上海,Remove
上海　准巡局,准巡局
上海　别市農工商局,别市農工商局
上海　孚洋行,孚洋行
上海　署,署
上海三馬路協賑公所,協賑公所
上海三馬路申報館,申報館
上海上海市參議會茶會,上海市參議會茶會
上海上海市參議會茶會 ,上海市參議會茶會
上海上海市立體育專科學校,上海市立體育專科學校
上海中國國貨公司,上海中國國貨公司
上海中國國貨股份有限公司,上海中國國貨公司
上海中國墾業銀行房産部,中國墾業銀行房産部
上海中國婦孺救濟總會,上海中國婦孺救濟總會
上海中國工商保壽公司,中國工商保壽公司
上海中國火柴廠,中國火柴廠
上海中國繡業公會,中國繡業公會
上海中國農工銀行,上海中國農工銀行
上海中國通商銀行南市分行,中國通商銀行
上海中國醫學院學生軍軍訓委分會,中國醫學院學生軍軍訓委分會
上海中國銀行,中國銀行
上海中法新彚報館,中法新彚報館
上海中美商業公司,中美商業公司
上海中醫學會,中醫學會
上海中醫學院華隆醫院,中醫學院華隆醫院
上海五金交易所,五金交易所
上海交大機械工程院長,交大機械工程院
上海交易所,上海交易所
上海交通銀行,交通銀行
上海仁記洋行,仁記洋行
上海仁豐染織廠,仁豐染織廠
上海佛教法物保存館,佛教法物保存館
上海保太藥房,上海保太藥房
上海保嬰籌賑局,上海保嬰籌賑局
上海保安堂,保安堂
上海保險業商業同業公會,上海保險業商業同業公會
上海信義銀行,信義銀行
上海信託公司,上海信託公司
上海偉達飯店,偉達飯店
上海儲運局,上海儲運局
上海元芳洋行,元芳洋行
上海兒童圖書館,兒童圖書館
上海兒童福利促進會,兒童福利促進會
上海內地自來水公司,內地自來水公司
上海內河輪船公司,內河輪船公司
上海公信洋行,公信洋行
上海公共租界工部局,工部局
上海公共租界工部局地皮委員會,工部局
上海公共租界捕房,公共租界總巡捕房
上海公共租界納稅華人會,公共租界納稅華人會
上海公共租界總巡捕房,公共租界總巡捕房
上海公共租界臨時法院,公共租界臨時法院
上海公所,上海公所
上海公濟同人會,公濟同人會
上海六廠,上海六廠
上海六馬路,Remove
上海六馬路仁濟善堂,仁濟善堂
上海六馬路仁濟善堂籌賑公所,仁濟善堂
上海典質業同人友誼會,典質業同人友誼會
上海冠生園食品公司,冠生園食品公司
上海化市絲業會館籌賑公所,上海北市業會舘籌賑公所
上海北區南貨業職工會,上海北區南貨業職工會
上海北區南貨業職工會第一分會,上海北區南貨業職工會
上海北巿盆湯衖絲業會,上海北巿盆湯弄絲業會
上海北巿絲會館,上海北巿絲業會館
上海北巿絲業會,上海北巿絲業會館
上海北巿絲業會館,上海北巿絲業會館
上海北市盆湯弄絲業會,上海北巿絲業會館
上海北市盆湯弄絲業舍,上海北巿絲業會館
上海北市盆湯衖絲業會,上海北巿絲業會館
上海北市盆絲業會館,上海北巿絲業會館
上海北市益湯業會,上海北巿絲業會館
上海北市絲業會,上海北巿絲業會館
上海北市絲業會館,上海北巿絲業會館
上海北市絲業會館籌賑公所,上海北巿絲業會館
上海北市絲業會館籌賑所,上海北巿絲業會館
上海匯　銀行,匯豐銀行
"上海匯衆煙草公司
","上海匯衆煙草公司
"
上海匯豐行,匯豐銀行
上海協,Remove
上海協賬公所,上海協賬公所
上海南北市棕　店,上海南北市棕店
上海南區襪廠職工會第二分會,上海南區襪廠職工會
