Name_ZhT;Name_Py;Province_Py;Province_ZhT;LAT;LONG;Name_Full;Level;Year;LocID;NameID;ID;FID;Provider;
阿城;Acheng;Jilin;吉林;45.5619894733118;126.948770158096;阿城縣;縣;1931;D3355492;N0401371;1864;s1890;ENP-China Project: https://www.enpchina.eu/;
阿墩;Adun;Yunnan;雲南;28.4787014964411;98.8233439294669;阿墩縣;縣;1931;11703902;N0415670;860;s21;ENP-China Project: https://www.enpchina.eu/;
璦琿;Aihun;Heilongjiang;黑龍江;49.9762044833727;127.466109033255;璦琿縣;縣;1931;T0257531-1;T0257506-2;527;s912;ENP-China Project: https://www.enpchina.eu/;
阿克蘇;Akesu;Xinjiang;新疆;41.100964794268;79.970092419802;阿克蘇縣;縣;1931;D3077362;N0401336;757;s957;ENP-China Project: https://www.enpchina.eu/;
阿迷;Ami;Yunnan;雲南;23.7340848503119;103.161201566676;阿迷縣;縣;1931;DH005412-1;DH121941-1;430;s1406;ENP-China Project: https://www.enpchina.eu/;
安次;Anci;Hebei;河北;39.395804021713;116.71946722346;安次縣;縣;1931;11703577;N0415345;1665;s288;ENP-China Project: https://www.enpchina.eu/;
安達;Anda;Heilongjiang;黑龍江;46.5520622992915;125.645263623114;安達縣;縣;1931;DH045543-1;DH162072-1;174;s1783;ENP-China Project: https://www.enpchina.eu/;
安定;Anding;Shaanxi;陝西;37.2192095387106;109.607224920154;安定縣;縣;1931;11703572;N0415340;629;s789;ENP-China Project: https://www.enpchina.eu/;
安東;Andong;Liaoning;遼寧;40.1467052329316;124.381761375382;安東縣;縣;1931;11703576;N0415344;1648;s149;ENP-China Project: https://www.enpchina.eu/;
安福;Anfu;Jiangxi;江西;27.27072568883;114.705002158447;安福縣;縣;1931;D3182048;N0315453;1831;s1895;ENP-China Project: https://www.enpchina.eu/;
安廣;Anguang;Liaoning;遼寧;45.3473448376263;123.682267343777;安廣縣;縣;1931;11703575;N0415343;1622;s179;ENP-China Project: https://www.enpchina.eu/;
安國;Anguo;Hebei;河北;38.4180444528975;115.325015401427;安國縣;縣;1931;D3106390;N0315162;1615;s170;ENP-China Project: https://www.enpchina.eu/;
安化;Anhua;Hunan;湖南;28.1629675482453;111.664526750186;安化縣;縣;1931;D2864749;N0315123;1775;s249;ENP-China Project: https://www.enpchina.eu/;
安吉;Anji;Zhejiang;浙江;30.7382434488112;119.698324436077;安吉縣;縣;1931;D3151341;N0315143;2606;s870;ENP-China Project: https://www.enpchina.eu/;
安康;Ankang;Shaanxi;陝西;32.684658794405;109.16297261819;安康縣;縣;1931;D3112187;N0315356;42;s1604;ENP-China Project: https://www.enpchina.eu/;
安陸;Anlu;Hubei;湖北;31.2618453196478;113.705737123169;安陸縣;縣;1931;D3362279;N0315525;1331;s368;ENP-China Project: https://www.enpchina.eu/;
安南;Annan;Guizhou;貴州;25.8173369354576;105.201148524169;安南縣;縣;1931;DH050616-1;DH167145-1;123;s1550;ENP-China Project: https://www.enpchina.eu/;
安寧;Anning;Yunnan;雲南;24.9244440909516;102.483490618695;安寧縣;縣;1931;11703573;N0415341;873;s593;ENP-China Project: https://www.enpchina.eu/;
安平;Anping;Hebei;河北;38.2243705887264;115.519863046593;安平縣;縣;1931;D3070502;N0315342;1617;s180;ENP-China Project: https://www.enpchina.eu/;
安慶;Anqing;Anhui;安徽;30.512295;117.034676;NA;NA;1931;D3675218;N0415265;NA;NA;ENP-China Project: https://www.enpchina.eu/;
安丘;Anqiu;Shandong;山東;36.435154785363;119.220265945111;安丘縣;縣;1931;D3070490;N0315034;2283;s1683;ENP-China Project: https://www.enpchina.eu/;
安仁;Anren;Hunan;湖南;26.7614302635558;113.194867981926;安仁縣;縣;1931;DH051984-1;DH168513-1;1119;s454;ENP-China Project: https://www.enpchina.eu/;
安塞;Ansai;Shaanxi;陝西;36.7576761370633;109.366679862937;安塞縣;縣;1931;D3065684;N0315196;43;s1603;ENP-China Project: https://www.enpchina.eu/;
安順;Anshun;Guizhou;貴州;26.2551584758306;105.871709507966;安順縣;縣;1931;DH053752-1;DH228545-1;88;s1586;ENP-China Project: https://www.enpchina.eu/;
安圖;Antu;Liaoning;遼寧;42.5719176228146;128.361459228146;安圖縣;縣;1931;D3303382;N0315163;1372;s351;ENP-China Project: https://www.enpchina.eu/;
安溪;Anxi;Fujian;福建;25.0540231766494;118.200954470052;安溪縣;縣;1931;DH056725-1;DH056725-1;2484;s1418;ENP-China Project: https://www.enpchina.eu/;
安西;Anxi;Gansu;甘肅;40.5609276898232;95.9693616907975;安西縣;縣;1931;DH049107-1;DH223900-1;144;s1838;ENP-China Project: https://www.enpchina.eu/;
安縣;Anxian;Sichuan;四川;31.6495812800492;104.428510280049;安縣;縣;1931;D2866880;N0315137;55;s1607;ENP-China Project: https://www.enpchina.eu/;
安鄉;Anxiang;Hunan;湖南;29.3421926582585;112.124955727271;安鄉縣;縣;1931;D3031541;N0315345;1164;s566;ENP-China Project: https://www.enpchina.eu/;
安新;Anxin;Hebei;河北;38.8640812309886;115.818003419318;安新縣;縣;1931;D3079557;N0315374;1609;s172;ENP-China Project: https://www.enpchina.eu/;
安陽;Anyang;Henan;河南;36.0866051900502;114.33610675204;安陽縣;縣;1931;DH043650-1;DH043650-1;1920;s101;ENP-China Project: https://www.enpchina.eu/;
安義;Anyi;Jiangxi;江西;28.8425892188897;115.645048945091;安義縣;縣;1931;D3263336;N0315046;1821;s1925;ENP-China Project: https://www.enpchina.eu/;
安邑;Anyi;Shanxi;山西;35.0841406439874;110.839162339847;安邑縣;縣;1931;D3040660;N0315505;41;s1601;ENP-China Project: https://www.enpchina.eu/;
安遠;Anyuan;Jiangxi;江西;24.8901074545521;115.068834873552;安遠縣;縣;1931;DH058047-1;DH232840-1;1009;s681;ENP-China Project: https://www.enpchina.eu/;
安岳;Anyue;Sichuan;四川;30.1145901769096;105.328664306272;安邱縣;縣;1931;11703574;N0415342;685;s989;ENP-China Project: https://www.enpchina.eu/;
安澤;Anze;Shanxi;山西;36.2518281191237;112.024180974663;安澤縣;縣;1931;D3417540;N0315413;640;s1018;ENP-China Project: https://www.enpchina.eu/;
阿提;Ati;Xinjiang;新疆;40.6346894766256;80.0876089632729;阿提縣;縣;1931;11703903;N0415671;758;s958;ENP-China Project: https://www.enpchina.eu/;
巴安;Baan;Xikang;西康;30.0113920943088;98.9350330033703;巴安縣;縣;1931;11703624;N0415392;264;s1234;ENP-China Project: https://www.enpchina.eu/;
巴楚;Bachu;Xinjiang;新疆;39.7021388413408;78.2793705363182;巴楚縣;縣;1931;D3301122;N0323633;823;s628;ENP-China Project: https://www.enpchina.eu/;
巴東;Badong;Hubei;湖北;31.0262846392957;110.417613762465;巴東縣;縣;1931;DH025176-1;DH025176-1;1447;s420;ENP-China Project: https://www.enpchina.eu/;
拜城;Baicheng;Xinjiang;新疆;41.7681554926831;82.0095730774574;拜城縣;縣;1931;D2874917;N0331248;818;s633;ENP-China Project: https://www.enpchina.eu/;
白河;Baihe;Shaanxi;陝西;32.8131304657342;110.121673342658;白河縣;縣;1931;11703776;N0415544;22;s1639;ENP-China Project: https://www.enpchina.eu/;
拜泉;Baiquan;Heilongjiang;黑龍江;47.5598616718155;126.293121224059;拜泉縣;縣;1931;DH054733-1;DH171262-1;71;s1557;ENP-China Project: https://www.enpchina.eu/;
百色;Baise;Guangxi;廣西;23.9256288339722;106.561297729955;百色縣;縣;1931;D3230595;N0368226;971;s699;ENP-China Project: https://www.enpchina.eu/;
白水;Baishui;Shaanxi;陝西;35.0784991356578;109.430132902088;白水縣;縣;1931;11703775;N0415543;607;s841;ENP-China Project: https://www.enpchina.eu/;
白玉;Baiyu;Xikang;西康;31.2401651847742;98.7659083270944;白玉縣;縣;1931;D2866148;N0367431;257;s1216;ENP-China Project: https://www.enpchina.eu/;
