Prov_Py,Prov_Zh,Prov_Alt,PROVID
Andong,安東,Antung,32
Anhui,安徽,Anhwei,1
Anhui,安徽,Anhwui,1
Beijing,北京,Peking,2
Chahaer,察哈爾,Tsitsihar,33
Chongqing,重慶,Chungking,3
Chuanbian,川邊,Ch'uenpien,34
Fengtian,奉天,Fengtien,35
Fujian,福建,Fukien,4
Gansu,甘肅,Kansu,5
Gansu,甘肅,Kansuh,5
Guangdong,廣東,Kwangtung,6
Guangxi,廣西,Kwangsi,7
Guangxi,廣西,Kwangse,7
Guizhou,貴州,Kweichow,8
Guizhou,貴州,Kueichow,8
Hainan,海南,Hainan,9
Hebei,河北,Hopei,10
Heilongjiang,黑龍江,Heilungkiang,11
Hejiang,合江,Hokiang,36
Henan,河南,Honan,12
Hubei,湖北,Hupeh,13
Hunan,湖南,Hunan,14
Inner Mongolia,內蒙古,Nei menggu,19
Jiangsu,江蘇,Kiangsu,15
Jiangsu,江蘇,Kiansuh,15
Jiangxi,江西,Kiangsi,16
Jiangxi,江西,Kiangse,16
Jilin,吉林,Chilin,17
Jilin,吉林,Kirin,17
Liaobei,遼北,Liaopeh,37
Liaodong,遼東,Liaotung,38
Liaoning,遼寧,Liaoning,18
Liaoxi,遼西,Liaohsi,39
Manchuria,,,55
Mongolia,蒙古,Mongolia,40
Mudanjiang,牡丹江,Mutankiang,41
Nenjiang,嫩江,Nunkiang,42
Ningxia,寧夏,Ninghsia,20
North China,,,54
Outer Mongolia,外蒙古,Wai Menggu,49
Pingyuan,平原,P'inyuen,43
Qinghai,青海,Ts'inghai,21
Rehe,熱河,Jehol,44
Shaanxi,陝西,Shensi,22
Shandong,山東,Shantung,23
Shandong,山東,Shangtung,23
Shanghai,上海,Shanghai,24
Shanxi,山西,Shansi,25
Shanxi,山西,Shanshi,25
Shenjing,盛京,Shenking,45
Sichuan,四川,Szechuen,26
Sichuan,四川,Szechuan,26
Songjiang,松江,Sungkiang,46
Suiyuan,綏遠,Suiyuan,47
Taiwan,台灣,Taiwan,48
Taiwan,台灣,Formosa,48
Tianjin,天津,Tientsin,27
West River,,,53
Xikang,西康,Hsikang,50
Xing'an,興安,Hsingan,51
Xinjiang,新疆,Sinkiang,28
Xinjiang,新疆,Turkestan,28
Xizang,西藏,Hsitsang,29
Xizang,西藏,Tibet,29
Xizang,西藏,Thibet,29
Yunnan,雲南,Yunnan,30
Zhejiang,浙江,Chekiang,31
Zhejiang,浙江,Chehkiang,31
Zhili,直隸,Chihli,52
