BirthProvince;Prov_Py;Prov_Textual
吉林;Jilin;Jilin - 吉林
四川;Sichuan;Sichuan - 四川
奉天;Fengtian;Fengtian - 奉天
安徽;Anhui;Anhui - 安徽
察哈爾;Chahar;Chahar - 察哈爾
山東;Shandong;Shandong - 山東
山西;Shanxi;Shanxi - 山西
廣東;Guangdong;Guangdong - 廣東
廣西;Guangxi;Guangxi - 廣西
江蘇;Jiangsu;Jiangsu - 江蘇
江西;Jiangxi;Jiangxi - 江西
河北;Hebei;Hebei - 河北
河南;Henan;Henan - 河南
浙江;Zhejiang;Zhejiang - 浙江
湖北;Hubei;Hubei - 湖北
湖南;Hunan;Hunan - 湖南
甘肅;Gansu;Gansu - 甘肅
福建;Fujian;Fujian - 福建
蒙古;Mongolia;Mongolia - 蒙古
貴州;Guizhou;Guizhou - 貴州
遼寧;Liaoning;Liaoning - 遼寧
陝西;Shaanxi;Shaanxi - 陝西
雲南;Yunnan;Yunnan - 雲南
