Name_zhS,Name_Short_Py,Name_zhT,Subdivision category,Subdivision name[note 1],Name_Zh_Long,Comment,Name_Full_Py
安徽,Anhui,安徽,province,Anhui Sheng,安徽省,,Anhui
北京,Beijing,北京,municipality,Beijing Shi,北京市,,Beijing
重庆,Chongqing,重慶,municipality,Chongqing Shi,重庆市,,Chongqing
福建,Fujian,福建,province,Fujian Sheng,福建省,,Fujian
甘肃,Gansu,甘肅,province,Gansu Sheng,甘肃省,,Gansu
广东,Guangdong,廣東,province,Guangdong Sheng,广东省,,Guangdong
广西,Guangxi,廣西,autonomous region,Guangxi Zhuangzu Zizhiqu,广西壮族自治区 ,,Guangxi
贵州,Guizhou,貴州,province,Guizhou Sheng,贵州省,,Guizhou
海南,Hainan,海南,province,Hainan Sheng,海南省,,Hainan
河北,Hebei,河北,province,Hebei Sheng,河北省,,Hebei
黑龙江,Heilongjiang,黑龍江,province,Heilongjiang Sheng,黑龙江省,,Heilongjiang
河南,Henan,河南,province,Henan Sheng,河南省,,Henan
香港,Hong Kong,香港,special administrative region,Xianggang Tebie xingzhengqu,香港特别行政区,Hong Kong SAR (en),Xianggang
湖北,Hubei,湖北,province,Hubei Sheng,湖北省,,Hubei
湖南,Hunan,湖南,province,Hunan Sheng,湖南省,,Hunan
江苏,Jiangsu,江蘇,province,Jiangsu Sheng,江苏省,,Jiangsu
江西,Jiangxi,江西,province,Jiangxi Sheng,江西省,,Jiangxi
吉林,Jilin,吉林,province,Jilin Sheng,吉林省,,Jilin
辽宁,Liaoning,遼甯,province,Liaoning Sheng,辽宁省,,Liaoning
澳门,Macau,澳門,special administrative region,Aomen Tebie xingzhengqu,澳门特别行政区,Macao,Aomen
内蒙古,Inner Mongolia,內蒙古,autonomous region,Nei Menggu Zizhiqu,内蒙古自治区,,Nei Menggu
宁夏,Ningxia,甯夏,autonomous region,Ningxia Huizi Zizhiqu,宁夏回族自治区,,Ningxia
青海,Qinghai,青海,province,Qinghai Sheng,青海省,,Qinghai
陕西,Shaanxi,陝西,province,Shaanxi Sheng,陕西省,,Shaanxi
山东,Shandong,山東,province,Shandong Sheng,山东省,,Shandong
上海,Shanghai,上海,municipality,Shanghai Shi,上海市,,Shanghai
山西,Shanxi,山西,province,Shanxi Sheng,山西省,,Shanxi
四川,Sichuan,四川,province,Sichuan Sheng,四川省,,Sichuan
台湾,Taiwan,台灣,province,Taiwan Sheng,台湾省,,Taiwan
天津,Tianjin,天津,municipality,Tianjin Shi,天津市,,Tianjin
新疆,Xinjiang,新疆,autonomous region,Xinjiang Uygur Zizhiqu,新疆维吾尔自治区,,Xinjiang
西藏,Xizang,西藏,autonomous region,Xizang Zizhiqu,西藏自治区,Tibet,Xizang
云南,Yunnan,雲南,province,Yunnan Sheng,云南省,,Yunnan
浙江,Zhejiang,浙江,province,Zhejiang Sheng,浙江省,,Zhejiang
