Position_Zh_Srce;Position_Eng;Year;Source;Eng_Source
主計官;accountant;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
帳房;accountant;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總司帳;accountant;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
代理主席;acting chairman;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
代經理;acting manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
代理主任;acting office chief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
廣告主任;advertising manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
中國壽險諮議;advisor;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
市政顧問;advisor;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
經濟顧問;advisor;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
顧問;advisor;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
業務顧問;advisor;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
候補執行委員;alternate board member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
大使;ambassador;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
副理;assistant manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
董事長;board chairman;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
會董;board director;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
大廈委員會主任;board member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
大廈委員會理事;board member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
主席委員;board member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
主席校董;board member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
執行董事;board member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
審查委員會常務委員;board member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
常務董事;board member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
常務院董;board member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
棉業統制委員會常務委員;board member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
業務局理事;board member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
浙江省分會常務委員;board member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
滬局參事;board member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
滬行參事;board member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
理事;board member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
理事長;board member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
第五屆中央執行委員;board member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
經濟校董;board member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總會常務理事;board member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
華董;board member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
董事;board member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
院董;board member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
駐局董事;board member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
分行經理;branch manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
管理;branch manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
保險處處長;bureau chief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
信託部主任;bureau chief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
主任;bureau chief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
上海辦事處主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
中心區支行主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
事務處第二課課長;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
事務部主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
人事室代理主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
儲蓄部主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
八仙橋辦事處主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
出納主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
出納課課長;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
匯兌部主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
