Position_Eng_Srce;Source
Member;Biographical Dictionary of Republican China, vols 1-4
Vice chairman;Biographical Dictionary of Republican China, vols 1-4
Deputy;Biographical Dictionary of Republican China, vols 1-4
President;Biographical Dictionary of Republican China, vols 1-4
Minister;Biographical Dictionary of Republican China, vols 1-4
Deputy Director;Biographical Dictionary of Republican China, vols 1-4
Commander;Biographical Dictionary of Republican China, vols 1-4
Director;Biographical Dictionary of Republican China, vols 1-4
Commissioner;Biographical Dictionary of Republican China, vols 1-4
Pacification Commissioner;Biographical Dictionary of Republican China, vols 1-4
Deputy Joint Chief;Biographical Dictionary of Republican China, vols 1-4
Chairman;Biographical Dictionary of Republican China, vols 1-4
Deputy Chief;Biographical Dictionary of Republican China, vols 1-4
Central Executive Committee Member;Biographical Dictionary of Republican China, vols 1-4
Central Committee Member;Biographical Dictionary of Republican China, vols 1-4
Trader;Biographical Dictionary of Republican China, vols 1-4
Councillor;Biographical Dictionary of Republican China, vols 1-4
Chancellor;Biographical Dictionary of Republican China, vols 1-4
Representative;Biographical Dictionary of Republican China, vols 1-4
Employee;Biographical Dictionary of Republican China, vols 1-4
Head;Biographical Dictionary of Republican China, vols 1-4
Assistant Manager;Biographical Dictionary of Republican China, vols 1-4
Governor;Biographical Dictionary of Republican China, vols 1-4
Deputy Chairman;Biographical Dictionary of Republican China, vols 1-4
Committee Member;Biographical Dictionary of Republican China, vols 1-4
Presidium Member;Biographical Dictionary of Republican China, vols 1-4
Deputy Political Commissar;Biographical Dictionary of Republican China, vols 1-4
Political Commissar;Biographical Dictionary of Republican China, vols 1-4
Secretary;Biographical Dictionary of Republican China, vols 1-4
Alternate Member;Biographical Dictionary of Republican China, vols 1-4
Delegate;Biographical Dictionary of Republican China, vols 1-4
Military Governor;Biographical Dictionary of Republican China, vols 1-4
Commander in Chief;Biographical Dictionary of Republican China, vols 1-4
Editor;Biographical Dictionary of Republican China, vols 1-4
Deputy Secretary;Biographical Dictionary of Republican China, vols 1-4
Vice President;Biographical Dictionary of Republican China, vols 1-4
Director General;Biographical Dictionary of Republican China, vols 1-4
Associate Director General;Biographical Dictionary of Republican China, vols 1-4
Associate Director;Biographical Dictionary of Republican China, vols 1-4
Expectant Metropolitan Officer;Biographical Dictionary of Republican China, vols 1-4
Vice Admiral;Biographical Dictionary of Republican China, vols 1-4
Treasurer;Biographical Dictionary of Republican China, vols 1-4
UND;Biographical Dictionary of Republican China, vols 1-4
Platoon Commander;Biographical Dictionary of Republican China, vols 1-4
Scholar;Biographical Dictionary of Republican China, vols 1-4
Compiler;Biographical Dictionary of Republican China, vols 1-4
State Council Member;Biographical Dictionary of Republican China, vols 1-4
Financial Commissioner;Biographical Dictionary of Republican China, vols 1-4
Inspector General;Biographical Dictionary of Republican China, vols 1-4
Chief Military Adviser;Biographical Dictionary of Republican China, vols 1-4
Garrison Commander;Biographical Dictionary of Republican China, vols 1-4
Lecturer;Biographical Dictionary of Republican China, vols 1-4
Apprentice Secretary;Biographical Dictionary of Republican China, vols 1-4
Junior Secretary;Biographical Dictionary of Republican China, vols 1-4
Vice Minister;Biographical Dictionary of Republican China, vols 1-4
Personal Adviser;Biographical Dictionary of Republican China, vols 1-4
Attache;Biographical Dictionary of Republican China, vols 1-4
Faculty member;Biographical Dictionary of Republican China, vols 1-4
Dean;Biographical Dictionary of Republican China, vols 1-4
Script Writer;Biographical Dictionary of Republican China, vols 1-4
Standing Committee Member;Biographical Dictionary of Republican China, vols 1-4
National Committee Member;Biographical Dictionary of Republican China, vols 1-4
Governor General;Biographical Dictionary of Republican China, vols 1-4
Military Superintendent;Biographical Dictionary of Republican China, vols 1-4
Clerk;Biographical Dictionary of Republican China, vols 1-4
Chief;Biographical Dictionary of Republican China, vols 1-4
Political Secretary;Biographical Dictionary of Republican China, vols 1-4
Instructor;Biographical Dictionary of Republican China, vols 1-4
Deputy Secretary General;Biographical Dictionary of Republican China, vols 1-4
Artillery Instructor;Biographical Dictionary of Republican China, vols 1-4
Chief of Staff;Biographical Dictionary of Republican China, vols 1-4
Staff Officer;Biographical Dictionary of Republican China, vols 1-4
Deputy Commander;Biographical Dictionary of Republican China, vols 1-4
General;Biographical Dictionary of Republican China, vols 1-4
Deputy Commanding Officer;Biographical Dictionary of Republican China, vols 1-4
Field Commander;Biographical Dictionary of Republican China, vols 1-4
Brigadier General;Biographical Dictionary of Republican China, vols 1-4
Major;Biographical Dictionary of Republican China, vols 1-4
Captain;Biographical Dictionary of Republican China, vols 1-4
