Position_Eng_Srce;Sector_1;Sector_2;Occupation_Category;Occupation_Subcategory;Occupation_Detail;Typology_Source
Accountant;SERVICE;SERVICE;Professionals and senior executives;Professionals;;Both
Accountants;SERVICE;SERVICE;Professionals and senior executives;Professionals;;SMC
Acting Manager;;;Middle managers;Manager;Manager;Typo_positions
Activities Secretary;;;Professionals and senior executives;Organization executive;Secretary;Typo_positions
Actuary;SERVICE;FINANCE AND INSURANCE;Professionals and senior executives;Professionals;;Both
Advertising agent;SERVICE;SERVICE;Trade and Industry Business Owners;Small traders;;Both
Advertising agents;SERVICE;SERVICE;Trade and Industry Business Owners;Small traders;;SMC
Aerated water manufacturer;INDUSTRY;FOOD AND TOBACCO INDUSTRY;Trade and Industry Business Owners;Manufacturer;;Both
Aerated water worker;INDUSTRY;FOOD AND TOBACCO INDUSTRY;Workers;Laborers;;SMC
Aerated water workers;INDUSTRY;FOOD AND TOBACCO INDUSTRY;Workers;Laborers;;Both
Agent, Shanghai;;;Professionals and senior executives;Business agent;Local agent;Typo_positions
Amusement Resort Keepers and staff;SERVICE;ENTERTAINMENT SERVICES;Employees;Office workers;;Both
Analyst;SERVICE;PROFESSIONAL;Professionals and senior executives;Professionals;;Both
Apprentice;TRADE;TRADE;Workers;Apprentices;;Both
Apprentices;TRADE;TRADE;Workers;Apprentices;;SMC
Archaeologist;SERVICE;EDUCATION AND SCIENCE;Professionals and senior executives;Professors, literary and scientific professions;;Both
Architect;SERVICE;PROFESSIONAL;Professionals and senior executives;Professionals;;Both
Architects;SERVICE;PROFESSIONAL;Professionals and senior executives;Professionals;;SMC
Artificial stone maker;TRADE;HANDICRAFT PRODUCTION;Workers;Skilled workers;;Both
Artisan;INDUSTRY;INDUSTRY;Trade and Industry Business Owners;Craftsmen;;Both
Artisans;INDUSTRY;OTHER INDUSTRY;Trade and Industry Business Owners;Craftsmen;;Both
Artists;SERVICE;ENTERTAINMENT SERVICES;Other categories;Artists and other;;Both
Assayer;SERVICE;FINANCE AND INSURANCE;Trade and Industry Business Owners;Small traders;;Both
Assistant General Manager;;;Middle managers;Manager;General Manager;Typo_positions
Assistant Manager;;;Middle managers;Manager;Manager;Typo_positions
Assistant Representative for China;;;Professionals and senior executives;Business agent;Local representative;Typo_positions
Assistant Secretary;;;Professionals and senior executives;Government and administrative official;Secretary;Typo_positions
Associate;;;Professionals and senior executives;Professional;Associate;Typo_positions
Associate Director;;;Professionals and senior executives;Organization executive;Director;Typo_positions
Associate General Secretary;;;Professionals and senior executives;Organization executive;Secretary;Typo_positions
Astronomer;SERVICE;EDUCATION AND SCIENCE;Professionals and senior executives;Professors, literary and scientific professions;;Both
Auctioneer;TRADE;TRADE;Trade and Industry Business Owners;Wholesale traders;;Both
Author;SERVICE;PROFESSIONAL;Professionals and senior executives;Professors, literary and scientific professions;;Both
Authors;SERVICE;PROFESSIONAL;Professionals and senior executives;Professors, literary and scientific professions;;SMC
Average ajuster;SERVICE;FINANCE AND INSURANCE;Professionals and senior executives;Professionals;;Both
Aviator;SERVICE;TRANSPORTATION;Professionals and senior executives;Engineers;;Both
Aviators;SERVICE;TRANSPORTATION;Professionals and senior executives;Engineers;;Both
Baker;INDUSTRY;FOOD AND TOBACCO INDUSTRY;Trade and Industry Business Owners;Small traders;;Both
Bakers and confectionners;INDUSTRY;FOOD AND TOBACCO INDUSTRY;Trade and Industry Business Owners;Small traders;;Both
Bamboo Worker;INDUSTRY;WOODWORKING INDUSTRY;Workers;Skilled workers;;Both
Bamboo Workers;INDUSTRY;WOODWORKING INDUSTRY;Workers;Skilled workers;;SMC
Bankers' staff;SERVICE;FINANCE AND INSURANCE;Employees;Office workers;;Both
Bath house keepers;SERVICE;SERVICE;Trade and Industry Business Owners;Small traders;;Both
Bill collector;TRADE;TRADE;Trade and Industry Business Owners;Small traders;;Both
Billiard setter;SERVICE;HANDICRAFT PRODUCTION;Workers;Skilled workers;;Both
Bishop;;;Professionals and senior executives;Religious official;Religious officials;Typo_positions
Blacksmith;INDUSTRY;HANDICRAFT PRODUCTION;Workers;Skilled workers;;Both
Blacksmiths and coppersmiths;INDUSTRY;HANDICRAFT PRODUCTION;Workers;Skilled workers;;SMC
Boarding house keeper;SERVICE;SERVICE;Trade and Industry Business Owners;Small traders;;Both
Boarding houses, Inn and hotel keepers;SERVICE;SERVICE;Trade and Industry Business Owners;Small traders;;SMC
Boilermaker;INDUSTRY;HANDICRAFT PRODUCTION;Workers;Skilled workers;;Both
Bookbinder;TRADE;PAPER AND PRINTING;Workers;Skilled workers;;Both
Booksellers and publishers;TRADE;PAPER AND PRINTING;Trade and Industry Business Owners;Small traders;;SMC
Booksellers and stationer;TRADE;PAPER AND PRINTING;Trade and Industry Business Owners;Small traders;;Both
Boxer;SERVICE;ENTERTAINMENT SERVICES;Other categories;Artists and other;;Both
Brewer;INDUSTRY;FOOD AND TOBACCO INDUSTRY;Trade and Industry Business Owners;Manufacturer;;Both
Brewers;INDUSTRY;FOOD AND TOBACCO INDUSTRY;Trade and Industry Business Owners;Manufacturer;;SMC
Brick and tile maker;INDUSTRY;HANDICRAFT PRODUCTION;Workers;Skilled workers;;Both
Brick and tile makers;INDUSTRY;HANDICRAFT PRODUCTION;Workers;Skilled workers;;SMC
Broker;SERVICE;FINANCE AND INSURANCE;Trade and Industry Business Owners;Small traders;;Both
Brokers;SERVICE;FINANCE AND INSURANCE;Trade and Industry Business Owners;Small traders;;SMC
Butcher;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;Both
Butchers;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;SMC
Carder and spinner;INDUSTRY;TEXTILE INDUSTRY;Workers;Skilled workers;;Both
Carpenter and cabinet maker;INDUSTRY;WOODWORKING INDUSTRY;Workers;Skilled workers;;Both
Carpet maker;INDUSTRY;TEXTILE INDUSTRY;Workers;Skilled workers;;Both
Carriage builder;INDUSTRY;MACHINERY AND METAL PRODUCTS;Trade and Industry Business Owners;Manufacturer;;Both
Cereal dealer;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Wholesale traders;;Both
Cereal dealers;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Wholesale traders;;SMC
Chauffeur;SERVICE;DOMESTIC SERVICES;Service staff;Other service staff;;Both
Chauffeurs;SERVICE;DOMESTIC SERVICES;Service staff;Other service staff;;SMC
Chemist;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;Both
Chief Editor;;;Professionals and senior executives;Professional;Editor;Typo_positions
Chief Engineer;;;Professionals and senior executives;Expert;Engineer;Typo_positions
Chief, Traffic & Licence Dept;;;Professionals and senior executives;Government and administrative official;Municipal official;Typo_positions
China Manager;;;Middle managers;Manager;Local manager;Typo_positions
China Representative;;;Professionals and senior executives;Business agent;Local representative;Typo_positions
Chinese Manager;;;Middle managers;Manager;Local manager;Typo_positions
Chinese Sales Executive;;;Professionals and senior executives;Business executive;Sales Executive;Typo_positions
Cinematograph operators;SERVICE;SERVICE;Trade and Industry Business Owners;Small traders;;SMC
Cinematographer;SERVICE;SERVICE;Trade and Industry Business Owners;Small traders;;Both
Civil Engineer;SERVICE;PROFESSIONAL;Professionals and senior executives;Engineers;;Both
Clergyman;MISCELLANEOUS CATEGORIES;UNDEFINED;Other categories;Clergymen;;Both
Clerk;SERVICE;SERVICE;Employees;Office workers;;Both
Clerks;SERVICE;SERVICE;Employees;Office workers;;SMC
