Position_Srce;Sector 1;Sector 2;CSP;Position_type_1;Position_type_2;Year;Source;Comments
Accountant;SERVICE;SERVICE;Professionals and senior executives;Professionals;;1885-1935;Shanghai Municipal Council, Annual Report;
Acting Manager;;;Middle managers;Manager;Manager;1940;Rotary;
Activities Secretary;;;Professionals and senior executives;Organization executive;Secretary;1948;Rotary;
Actuary;SERVICE;FINANCE AND INSURANCE;Professionals and senior executives;Professionals;;1885-1935;Shanghai Municipal Council, Annual Report;
Advertising agent;SERVICE;SERVICE;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Aerated water manufacturer;INDUSTRY;FOOD AND TOBACCO INDUSTRY;Trade and Industry Business Owners;Manufacturer;;1885-1935;Shanghai Municipal Council, Annual Report;
Aerated water workers;INDUSTRY;FOOD AND TOBACCO INDUSTRY;Workers;Laborers;;1885-1935;Shanghai Municipal Council, Annual Report;
Agent, Shanghai;;;Professionals and senior executives;Business agent;Local agent;1940;Rotary;
Amusement Resort Keepers and staff;SERVICE;ENTERTAINMENT SERVICES;Employees;Office workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Analyst;SERVICE;PROFESSIONAL;Professionals and senior executives;Professionals;;1885-1935;Shanghai Municipal Council, Annual Report;
Apprentice;TRADE;TRADE;Workers;Apprentices;;1885-1935;Shanghai Municipal Council, Annual Report;
Archaeologist;SERVICE;EDUCATION AND SCIENCE;Professionals and senior executives;Professors, literary and scientific professions;;1885-1935;Shanghai Municipal Council, Annual Report;
Architect;SERVICE;PROFESSIONAL;Professionals and senior executives;Professionals;;1885-1935;Shanghai Municipal Council, Annual Report;
Artificial stone maker;TRADE;HANDICRAFT PRODUCTION;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Artisan;INDUSTRY;INDUSTRY;Trade and Industry Business Owners;Craftsmen;;1885-1935;Shanghai Municipal Council, Annual Report;
Artisans;INDUSTRY;OTHER INDUSTRY;Trade and Industry Business Owners;Craftsmen;;1885-1935;Shanghai Municipal Council, Annual Report;
Artists;SERVICE;ENTERTAINMENT SERVICES;Other categories;Artists and other;;1885-1935;Shanghai Municipal Council, Annual Report;
Assayer;SERVICE;FINANCE AND INSURANCE;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Assistant General Manager;;;Middle managers;Manager;General Manager;1948;Rotary;
Assistant Manager;;;Middle managers;Manager;Manager;1937;Rotary;
Assistant Representative for China;;;Professionals and senior executives;Business agent;Local representative;1940;Rotary;
Assistant Secretary;;;Professionals and senior executives;Government and administrative official;Secretary;1940;Rotary;
Associate;;;Professionals and senior executives;Professional;Associate;1940;Rotary;
Associate Director;;;Professionals and senior executives;Organization executive;Director;1948;Rotary;
Associate General Secretary;;;Professionals and senior executives;Organization executive;Secretary;1940;Rotary;
Astronomer;SERVICE;EDUCATION AND SCIENCE;Professionals and senior executives;Professors, literary and scientific professions;;1885-1935;Shanghai Municipal Council, Annual Report;
Auctioneer;TRADE;TRADE;Trade and Industry Business Owners;Wholesale traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Author;SERVICE;PROFESSIONAL;Professionals and senior executives;Professors, literary and scientific professions;;1885-1935;Shanghai Municipal Council, Annual Report;
Average ajuster;SERVICE;FINANCE AND INSURANCE;Professionals and senior executives;Professionals;;1885-1935;Shanghai Municipal Council, Annual Report;
Aviator;SERVICE;TRANSPORTATION;Professionals and senior executives;Engineers;;1885-1935;Shanghai Municipal Council, Annual Report;
Aviators;SERVICE;TRANSPORTATION;Professionals and senior executives;Engineers;;1885-1935;Shanghai Municipal Council, Annual Report;
Baker;INDUSTRY;FOOD AND TOBACCO INDUSTRY;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Bakers and confectionners;INDUSTRY;FOOD AND TOBACCO INDUSTRY;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Bamboo Worker;INDUSTRY;WOODWORKING INDUSTRY;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Bankers' staff;SERVICE;FINANCE AND INSURANCE;Employees;Office workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Bath house keepers;SERVICE;SERVICE;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Bill collector;TRADE;TRADE;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Billiard setter;SERVICE;HANDICRAFT PRODUCTION;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Bishop;;;Professionals and senior executives;Religious official;Religious officials;1948;Rotary;
Blacksmith;INDUSTRY;HANDICRAFT PRODUCTION;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Boarding house keeper;SERVICE;SERVICE;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Boilermaker;INDUSTRY;HANDICRAFT PRODUCTION;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Bookbinder;TRADE;PAPER AND PRINTING;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Booksellers and stationer;TRADE;PAPER AND PRINTING;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Boxer;SERVICE;ENTERTAINMENT SERVICES;Other categories;Artists and other;;1885-1935;Shanghai Municipal Council, Annual Report;
Brewer;INDUSTRY;FOOD AND TOBACCO INDUSTRY;Trade and Industry Business Owners;Manufacturer;;1885-1935;Shanghai Municipal Council, Annual Report;
Brick and tile maker;INDUSTRY;HANDICRAFT PRODUCTION;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Broker;SERVICE;FINANCE AND INSURANCE;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Butcher;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Carder and spinner;INDUSTRY;TEXTILE INDUSTRY;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Carpenter and cabinet maker;INDUSTRY;WOODWORKING INDUSTRY;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Carpet maker;INDUSTRY;TEXTILE INDUSTRY;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Carriage builder;INDUSTRY;MACHINERY AND METAL PRODUCTS;Trade and Industry Business Owners;Manufacturer;;1885-1935;Shanghai Municipal Council, Annual Report;
