ID_ROW;Street_Srce;Street_zhS;Street_PINYIN;Street_SUFFIX_Py;Street_Eng;FOREIGN_SETTLEMENT;Street_Eng_SUFFIX;Year_START;Year_END;Year_END_PRC;Street_New_ZhT;Street_New_ZhT_SUFFIX;Street_New_ZhS;Street_New_SUFFIX;Street_New_full;Street_New_PINYIN;Street_New_SUFFIX_Py;LOCALIZATION_INDICATOR;DISTRICT;PERIOD;Street_Eng_full;NOTES;Dating_qualifier;Source
1588;一二八紀念路;一二八纪念路;YI'ERBAJINIAN ;LU;;;;1945;;;共和;路;共和;路;共和新路一段;GONGHE;XINLU YIDUAN;;闸北区;;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
636;一號路;一号路;YIHAO;LU;;;;1958;1980;;江川;路;江川;路;江川路;JIANGCHUAN;LU;;闵行区;1958-1980;;;;
1515;丁家旗杆;丁家旗杆;DINGJIAQIGAN;;;;;;1964;;薛家;底街;薛家;底街;薛家底街(东段);XUEJIADI ;JIE;DONGDUAN;南市区;-1964;;;;
428;七浦路;七浦路;QIPU;LU;TSEPOO;International Settlement;ROAD;1894;1943;2006;七浦;路;七浦;路;七浦路;QIPULU ;LU;;闸北、虹口区;约1894-1943;TSEPOO ROAD;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
1343;七賢路;七贤路;QIXIAN;LU;;;;1915;1926;;小木橋;路;小木桥;路;小木桥路;XIAOMUQIAO;LU;;徐汇区;1915-1926;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
370;三姓路;三姓路;SANXING;LU;SANSING;International Settlement;ROAD;1927;1943;;廣西;南路;广西;南路;广西南路;GUANGXI;NANLU;;黄浦区;1949年前;;;;
1003;三官堂弄;三官堂弄;SANGUANTANG;LONG;;;;;;;陸家嘴;路;陆家嘴;路;陆家嘴路275弄;LUJIAZUI;LU;275 LONG;黄浦区;;;;;
1371;三官堂橫街;三官堂横街;SANGUANTANGJIE;HENGJIE;;;;;;;茂興;支路;茂兴;支路;茂兴支路;MAOXING ;ZHILU;;南市区;;;;;
558;三官堂街;三官堂街;SANGUANTANG;JIE;;;;;1964;;三門峽;路;三门峡;路;三门峡路;SANMENXIA;LU;;杨浦区;-1964;;;;
804;三官堂路;三官堂路;SANGUANTANG;LU;;;;;1964;;茂興;北路;茂兴;北路;茂兴北路;MAOXING;BEILU;;南市区;-1964;;;;
836;三官堂路;三官堂路;SANGUANTANG;LONG;;;;;;;永定;路;永定;路;永定路70弄;SANTANG;LONG;;杨浦区;;;;;
