Surname,number of individuals
丁,2905
万,3
上官,105
下,1
么,13
尹,909
于,1905
亓,2
五,2
井,17
亢,31
亣,3
亷,41
仇,100
仉,35
仝,40
令,3
仲,36
仵,4
任,1712
伊,111
伍,664
伏,54
伯,3
伹,9
但,33
何,5610
佘,90
余,2913
佟,148
來,88
侯,879
保,5
俞,1706
修,34
俸,77
倉,57
候,2
倪,682
倭,1
傅,2215
傳,10
儂,6
儲,145
兀,6
允,5
元,34
光,10
党,135
全,138
公,43
典,5
冀,50
冉,115
冐,5
冒,35
冠,15
㓂,11
冦,3
冨,1
冯,10
冷,179
凃,34
凌,355
刀,1
刁,44
刑,8
初,19
劉,21772
力,37
劭,12
勞,267
勵,2
包,405
匡,42
區,452
千,12
卓,199
南,82
卜,101
卞,121
卯,23
印,7
危,177
厚,18
厝,5
原,75
厲,65
及,24
叚,196
叢,2
古,375
句,3
史,1807
司,98
司徒,123
司空,7
吉,90
向,331
吕,27
吳,12871
吴,25
呂,2589
呉,2
周,10835
呼延,64
和,72
咎,11
哀,1
哈,49
員,15
唐,2878
商,203
問,51
喇,9
喬,612
單,545
喻,447
嚝,1
嚴,1272
國,47
塗,15
壬,15
壽,95
夏,2068
夘,8
太史,2
奉,2
奚,32
奧,29
姒,6
姚,3013
姜,1101
姬,32
娰,24
婁,340
孔,3142
存,1
孝,9
孟,1168
季,129
孫,8151
學,1
安,537
安平,5
宋,2456
宓,24
宗,190
官,106
定,6
宛,29
宣,58
宮,83
宸,1
容,173
密,13
寇,115
富,32
寗,7
實,14
寧,17
寶,4
寸,25
封,4
尉,109
尋,69
尚,361
尤,54
尼,21
居,62
屈,264
展,10
屠,366
山,5
岑,321
岳,203
崔,1910
嵇,105
嵩,1
巖,8
巢,124
左,815
巨,38
巫,45
巴,16
帅,5
帖,1
帛,2
帥,43
師,77
席,302
常,896
干,6
平,146
幸,11
庚,14
庭,46
康,384
庾,4
廉,54
廖,1675
廣,5
廬,31
龐,165
张,33
弭,16
張,30112
強,94
彭,2868
徐,9587
念,3
忻,54
恭,12
惠,101
惲,176
愉,8
慎,23
慕,27
慶,114
憓,5
憨,10
應,228
戈,86
戊,2
戌,2
戎,10
成,422
戚,207
戰,2
戴,1513
房,114
扈,9
承,1
把,2
招,94
接,1
揚,8
揭,111
據,3
支,71
敖,188
敬,102
文,635
斌,4
斯,91
方,2743
於,27
施,1261
斿,21
旃,15
昌,50
明,46
易,720
昝,17
星,10
晁,71
時,154
晉,47
晏,197
曽,3
景,296
暢,24
暨,10
暴,6
曠,38
曲,138
曹,3257
曾,2859
有,17
木,4
未,1
朱,9129
朴,9
朵,14
朶,16
朿,41
李,29744
杜,1917
束,2
杨,6
杭,5
林,4582
果,10
柏,16
查,639
