Univ_ZhT_Strd,Univ_Eng,Status_ZhT,Status_Eng
廈門大學,Amoy University,C,V
北京大學,Beijing University,C,
華中大學,Central China University,C,C
朝陽大學,Chaoyang University,C,C
浙江大學,Chekiang University,C,V
交通大學,Chiao-t'ung University,C,V
交通大學,Chiaotung University,C,V
中山大學,Chung-shan University,C,
大夏大學,Daxia University,C,V
同文書院,Dobun sho-in,C,C
復旦大學,Fudan University,C,C
復旦大學,Futan University,C,V
大夏大學,Great China University,C,C
廣東大學,Guangdong University,C,C
光華大學,Guanghua University,C,
之江大學,Hangzhou University,C,V
香港大學,Hong Kong University,C,V
華中大學,Huachung University,C,V
華中大學,Huazhong University,C,V
交通大學,Jiaotong University,C,C
金陵大學,Jinling College,C,V
金陵大學,Jinling University,C,C
光華大學,Kuang-hua University,C,V
廣東大學,Kwangtung University,C,V
立達學院,Lida College,C,V
立達學院,Lida Institute,C,C
南洋高級商業學校,Nanyang Advanced Business School,C,
青島大學,Qingdao University,C,C
淸華大學,Qinghua University,C,
滬江大學,Shanghai College,C,V
滬江大學,Shanghai University,C,C
聖約翰大學,Shengyuehan University,C,V
東南大學,Southeast University,C,C
聖約翰大學,St John's University,C,C
中山大學,Sun Yat-sen University,C,C
同文書院,Tongwen Shuyuan,C,V
青島大學,Tsingtao University,C,V
東南大學,Tung-nan University,C,V
廈門大學,Xiamen University,C,C
燕京大學,Yanjing University,C,V
燕京大學,Yenching University,C,C
浙江大學,Zhejiang University,C,C
之江大學,ZhIjiang University,C,C
中華大學高中,Zhonghua High School,C,
中華大學,Zhonghua University,C,C
中山大學,Zhongshan University,C,V
塞瑞術斯大學,Ceresus University,D,
朝陽學院,Chaoyang College,V,V
東亞同文書院,Dobun sho-in,V,C
中央研究院,Academia Sinica,,
吉林省阿城縣立師範學校,Acheng County Normal School in Jilin Province,,
空軍將校飛行偵察學校,Air Force General Flight Reconnaissance School,,
空軍大學,Air Force University,,
空軍參謀大學,Air Staff University,,
愛伯汀大學,Albertine University,,
全蘇油田開發研究所,All-Jiangsu Oilfield Development Research Institute,,
安東高級商業職業學校,Andong Advanced Business Vocational School,,
安東縣立甲種商業學校,Andong County Class A Commercial School,,
安東縣立師範學校,Andong County Normal School,,
安東鳳城師範學校,Andong Fengcheng Normal School,,
安東警察學校,Andong Police Academy,,
安東通化師範學校,Andong Tonghua Normal School,,
英華書院,Anglo-Chinese college,,
安徽甲種工業專門學校,Anhui Class A Industrial College,,
安徽第一甲種工業專門學校,Anhui First Class A Industrial Technical School,,
安徽高等學堂,Anhui Higher School,,
安徽法政專門學校,Anhui Institute of Political Science and Law,,
安徽省立第一農業學校,Anhui Provincial First Agricultural School,,
安徽省立第一工業學校,Anhui Provincial First Industrial School,,
安徽省立第二農業學校,Anhui Provincial Second Agricultural School,,
安徽省立第二女子師範學校,Anhui Provincial Second Girls' Normal School,,
安徽省立第二職業學校,Anhui Provincial Second Vocational School,,
安徽公立法政專門學校,Anhui Public School of Law and Politics,,
安徽鄉村師範學校,Anhui Rural Normal School,,
安徽高級師範學校,Anhui Senior Normal School,,
安徽高級蠶絲學校,Anhui Senior Silk School,,
安徽大學,Anhui University,,
