Univ_ZhT_Srce;Univ_ZhT_Strd;Univ_Eng;Status_ZhT;Status_Eng;Eng_Source
北平財政商業專門學校;北京財政商業專門學校;Beijing Financial and Commercial College;;;
北平參贊學校;北京參贊學校;Beijing Counselor School;;;
北平第一助產學校;北京第一助產學校;Beijing First Midwifery School;;;
北平俄文法政專;北京俄文法政專;Beijing Russian Law and Political College;;;
北平方正商業學校;北京方正商業學校;Beijing Fangzheng Business School;;;
北平高級職業學校;北京高級職業學校;Beijing Senior Vocational School;;;
北平公益高級職業學校;北京公益高級職業學校;Beijing Philanthropy Senior Vocational School;;;
北平弘慈佛學專校;北京弘慈佛學專校;Beijing Hongci Buddhist College;;;
北平監務專門學校;北京監務專門學校;Beijing Supervisory College;;;
北平警官高等學校;北京警官高等學校;Beijing Police Academy;;;
北平孔德學校;北京孔德學校;Beijing Kongde School;;;
北平師範大學;北京師範大學;Beijing Normal University;;;
北平市立體育專科學校;北京市立體育專科學校;Beijing Municipal Sports College;;;
北平稅務學校;北京稅務學校;Beijing Tax School;;;
北平私立商業專門學校;北京私立商業專門學校;Beijing Private Commercial College;;;
北平鐵道管理學院;北京鐵道管理學院;Beijing Railway Management College;;;
北平文治大學;北京文治大學;Beijing Wenzhi University;;;
北平鹽務學校;北京鹽務學校;Beijing Salt School;;;
交通大學;交通大學;Chiao-t'ung University;c;c;
奉天省立商業學校;奉天省立商業學校;Fengtian Provincial Commercial School;;;
南京大陸商業專門學校;南京大陸商業專門學校;Nanjing Continental Commercial College;;;
南京中央體育專門學校;南京中央體育專門學校;Nanjing Central Sports College;;;
商業專科學校;商業專科學校;Business Vocational School;;;
聖芳濟學院;聖芳濟學院;Franciscan College;;;
神州法律學院;神州法律學院;China Law School;;;
特志大學;特志大學;Tezhi University;;;
廈門大學;廈門大學;Amoy University;;v;
浙江大學;浙江大學;Chekiang University;;v;
復旦大學;復旦大學;Fudan University;;v;
華中大學;華中大學;Central China University;;v;
光華大學;光華大學;Guanghua University;;v;
廣東大學;廣東大學;Guangdong University;;v;
南洋高級商科學校;南洋高級商科學校;Nanyang Advanced Business School;;v;
北平協和醫學院;北京協和醫學院;Beijing Union Medical College;;v;
北京大學;北京大學;Beijing University;;v;
北平大學;北京大學;Beijing University;;v;
北平臨大;北京臨大;Beijing Temporary University;;v;
淸華學校;淸華學校;Qinghua University;;v;
清華大學;清華大學;Tsinghua University;;v;
青島大學;青島大學;Qingdao University;;v;
香港大學;香港大學;Hong Kong University;;v;
燕京大學;燕京大學;Yanjing University;;v;
正風文學院;正風文學院;Zhengfeng College of Literature;;;
中央研究院社會科學研究所;中央研究院;Academia Sinica;;;
吉林省阿城縣立師範學校;吉林省阿城縣立師範學校;Acheng County Normal School in Jilin Province;;;
空軍將校飛行偵察學校;空軍將校飛行偵察學校;Air Force General Flight Reconnaissance School;;;
空軍大學;空軍大學;Air Force University;;;
空軍參謀大學;空軍參謀大學;Air Staff University;;;
愛伯汀大學;愛伯汀大學;Albertine University;;;
香港亞力山大學;香港亞力山大學;Alexander University of Hong Kong;;;
全蘇油田開發研究所;全蘇油田開發研究所;All-Jiangsu Oilfield Development Research Institute;;;
安東高級商業職業學校;安東高級商業職業學校;Andong Advanced Business Vocational School;;;
安東縣立甲種商業學校;安東縣立甲種商業學校;Andong County Class A Commercial School;;;
安東縣立師範學校;安東縣立師範學校;Andong County Normal School;;;
安東鳳城師範學校;安東鳳城師範學校;Andong Fengcheng Normal School;;;
安東警察學校;安東警察學校;Andong Police Academy;;;
安東通化師範學校;安東通化師範學校;Andong Tonghua Normal School;;;
英華書院;英華書院;Anglo-Chinese college;;;
安徽甲種工業專門學校;安徽甲種工業專門學校;Anhui Class A Industrial College;;;
安徽第一甲種工業專門學校;安徽第一甲種工業專門學校;Anhui First Class A Industrial Technical School;;;
安徽高等學堂;安徽高等學堂;Anhui Higher School;;;
安徽法政學校;安徽法政專門學校;Anhui Institute of Political Science and Law;;;
安徽省立第一農業學校;安徽省立第一農業學校;Anhui Provincial First Agricultural School;;;
安徽省立第一工業學校;安徽省立第一工業學校;Anhui Provincial First Industrial School;;;
安徽省立第二農業學校;安徽省立第二農業學校;Anhui Provincial Second Agricultural School;;;
安徽省立第二女子師範學校;安徽省立第二女子師範學校;Anhui Provincial Second Girls' Normal School;;;
安徽省立第二職業學校;安徽省立第二職業學校;Anhui Provincial Second Vocational School;;;
安徽公立法政專門學校;安徽公立法政專門學校;Anhui Public School of Law and Politics;;;
安徽鄉村師範學校;安徽鄉村師範學校;Anhui Rural Normal School;;;
安徽高級師範學校;安徽高級師範學校;Anhui Senior Normal School;;;
安徽高級蠶絲學校;安徽高級蠶絲學校;Anhui Senior Silk School;;;
安徽大學;安徽大學;Anhui University;;;
安徽女子師範學校;安徽女子師範學校;Anhui Women's Normal School;;;
安徽宣城師範學校;安徽宣城師範學校;Anhui Xuancheng Normal School;;;
安慶皖江師範專科學校;安慶皖江師範專科學校;Anqing Wanjiang Teachers College;;;
青山學院大學;青山學院大學;Aoyama Gakuin University;;;
應用地球物研所;應用地球物研所;Applied Geophysical Research Institute;;;
陸軍炮兵工程學院;陸軍炮兵工程學院;Army Artillery Engineering College;;;
陸軍炮兵學校;陸軍炮兵學校;Army Artillery School;;;
陸軍航空兵戰術學校;陸軍航空兵戰術學校;Army Aviation Tactics School;;;
陸軍高等經理學校;陸軍高等經理學校;Army High School of Managers;;;
陸軍步兵學校;陸軍步兵學校;Army Infantry School;;;
陸軍經理學校;陸軍經理學校;Army Manager School;;;
陸軍機械化學校;陸軍機械化學校;Army Mechanization School;;;
陸軍軍醫學校;陸軍軍醫學校;Army Medical School;;;
陸軍士官學校等;陸軍士官學校等;Army Non-commissioned Academy;;;
陸軍軍官學校;陸軍軍官學校;Army Officer School;;;
陸軍部先兵學校;陸軍部先兵學校;Army Pioneer School;;;
陸軍軍需學校;陸軍軍需學校;Army Quartermaster School;;;
陸軍通信兵學校;陸軍通信兵學校;Army Signal Corps School;;;
陸軍參謀大學;陸軍參謀大學;Army Staff University;;;
陸軍步校;陸軍步校;Army Step School;;;
陸軍測繪學校;陸軍測繪學校;Army Surveying and Mapping School;;;
陸軍大學;陸軍大學;Army University;;;
陸軍大學將官班;陸軍大學;Army University;;;
陸軍大學研究院;陸軍大學;Army University;;;
陸軍大學軍事函授學校研究班;陸軍大學;Army University;;;
陸軍獸醫學校;陸軍獸醫學校;Army Veterinary School;;;
炮兵專科學校;炮兵專科學校;Artillery Academy;;;
炮兵學校;炮兵學校;Artillery school;;;
藝術專科學校;藝術專科學校;arts college;;;
震旦大學;震旦大學;Aurora University;;;
自動車學校;自動車學校;Auto school;;;
航空機械學校;航空機械學校;Aviation Machinery School;;;
班納消防工程專科學校;班納消防工程專科學校;Banna Fire Engineering Vocational College;;;
保定農學院;保定農學院;Baoding Agricultural College;;;
保定甲種工業專門學校;保定甲種工業專門學校;Baoding Class A Industrial College;;;
保定留法高等工藝學校;保定留法高等工藝學校;Baoding French Higher Polytechnic School;;;
保定軍官學校;保定軍官學校;Baoding Military Academy;;;
保定軍校;保定軍官學校;Baoding Military Academy;;;
保定軍校三期;保定軍官學校;Baoding Military Academy;;;
保定陸軍學校;保定軍官學校;Baoding Military Academy;;;
保定陸軍軍官學校;保定軍官學校;Baoding Military Academy;;;
保定師範學校;保定師範學校;Baoding Normal School;;;
保定北大農科;保定北大農科;Baoding Beijing University Agricultural Science;;;
保定第二師範學校;保定第二師範學校;Baoding Second Normal School;;;
保定育德學校;保定育德學校;Baoding Yude School;;;
寶山縣立師範學校;寶山縣立師範學校;Baoshan County Normal School;;;
浸會舊制中學;浸會中學;Baptist Secondary School;;;
巴士特衛生院;巴士特衛生院;Bast Health Center;;;
法屬東京巴維師範大學;法屬東京巴維師範大學;Bawei Normal University;;;
北京崇貞女學校;北京崇貞女學校;Beijing Chongzhen Girls' School;;;
北京公民大學;北京公民大學;Beijing Citizen University;;;
北京土木工程學校;北京土木工程學校;Beijing Civil Engineering School;;;
北京參贊學校;北京參贊學校;Beijing Counselor School;;;
北京方正商業學校;北京方正商業學校;Beijing Fangzheng Business School;;;
北京財政商業專門學校;北京財政商業專門學校;Beijing Financial and Commercial College;;;
